mode,frequency_Hz,harmonic_ratio,amplitude,amplitude_ratio
1,120.0,1.0,19090.862086439392,1.0
2,240.0,2.0,16098.367530327221,0.8432498992155101
3,360.0,3.0,11901.55598482812,0.6234163722382147
4,480.0,4.0,7532.07188712204,0.3945380702567757
5,600.0,5.0,4485.256654658891,0.2349425937053338
6,720.0,6.0,4276.482658890347,0.22400678604912322
7,840.0,7.0,5073.292094382962,0.2657445259104679
8,960.0,8.0,5077.578366871808,0.2659690454983963
9,1080.0,9.0,4423.191753115913,0.23169156704860341
10,1200.0,10.0,4067.0444835386334,0.21303618794813534
11,1320.0,11.0,4386.495188192792,0.22976936129608333
12,1440.0,12.0,4653.218234965277,0.2437406029071127
13,1560.0,13.0,4486.91620977489,0.2350295229968705
14,1680.0,14.0,4257.280297827968,0.22300094561219402
15,1800.0,15.0,4338.644963823261,0.22726291480074565
16,1920.0,16.0,4474.388109967124,0.23437328758167336
17,2040.0,17.0,4355.5974224668,0.22815090291604298
18,2160.0,18.0,4129.556931634096,0.21631065757723952
19,2280.0,19.0,4058.509513138979,0.21258911696930735
20,2400.0,20.0,4045.878769577022,0.2119275049632718
21,2520.0,21.0,3881.849564051281,0.20333547780477831
22,2640.0,22.0,3628.848091178267,0.19008298707243335
23,2760.0,23.0,3461.0296655865222,0.18129247646940777
24,2880.0,24.0,3337.5157295001363,0.17482268293535252
25,3000.0,25.0,3119.9183012619733,0.16342469434516063
26,3120.0,26.0,2841.365712148236,0.14883380851441555
27,3240.0,27.0,2622.1844882877294,0.13735285899688718
28,3360.0,28.0,2442.2555259059923,0.1279279853810674
29,3480.0,29.0,2205.913096854916,0.11554811337838006
30,3600.0,30.0,1932.1549369428815,0.10120836493367831
