f_low,f_high,ratio_low_over_high,amp_low,amp_high,amp_ratio_low_over_high,delta_from_2_over_3,delta_from_1_over_2,delta_from_3_over_4,delta_from_3_over_2_inverse
120.0,180.0,0.6666666666666666,191.0041638896968,39.132058328801165,4.881015005262779,0.0,0.16666666666666663,0.08333333333333337,0.0
240.0,360.0,0.6666666666666666,114.98756651269008,47.97062945631309,2.3970410189720233,0.0,0.16666666666666663,0.08333333333333337,0.0
300.0,480.0,0.625,14.051172706745088,17.840661429564747,0.7875925879889247,0.04166666666666663,0.125,0.125,0.04166666666666663
180.0,300.0,0.6,39.132058328801165,14.051172706745088,2.784967429089838,0.06666666666666665,0.09999999999999998,0.15000000000000002,0.06666666666666665
360.0,600.0,0.6,47.97062945631309,13.944731684048108,3.440053960391971,0.06666666666666665,0.09999999999999998,0.15000000000000002,0.06666666666666665
360.0,480.0,0.75,47.97062945631309,17.840661429564747,2.6888369383445787,0.08333333333333337,0.25,0.0,0.08333333333333337
180.0,240.0,0.75,39.132058328801165,114.98756651269008,0.3403155620697698,0.08333333333333337,0.25,0.0,0.08333333333333337
240.0,300.0,0.8,114.98756651269008,14.051172706745088,8.183485386774283,0.13333333333333341,0.30000000000000004,0.050000000000000044,0.13333333333333341
480.0,600.0,0.8,17.840661429564747,13.944731684048108,1.2793836291574787,0.13333333333333341,0.30000000000000004,0.050000000000000044,0.13333333333333341
300.0,600.0,0.5,14.051172706745088,13.944731684048108,1.0076330635188013,0.16666666666666663,0.0,0.25,0.16666666666666663
240.0,480.0,0.5,114.98756651269008,17.840661429564747,6.445252434539104,0.16666666666666663,0.0,0.25,0.16666666666666663
60.0,120.0,0.5,60.42672558549216,191.0041638896968,0.31636339415295706,0.16666666666666663,0.0,0.25,0.16666666666666663
180.0,360.0,0.5,39.132058328801165,47.97062945631309,0.8157503616757578,0.16666666666666663,0.0,0.25,0.16666666666666663
120.0,240.0,0.5,191.0041638896968,114.98756651269008,1.661085364986983,0.16666666666666663,0.0,0.25,0.16666666666666663
300.0,360.0,0.8333333333333334,14.051172706745088,47.97062945631309,0.2929119935676789,0.16666666666666674,0.33333333333333337,0.08333333333333337,0.16666666666666674
120.0,300.0,0.4,191.0041638896968,14.051172706745088,13.593467810555603,0.2666666666666666,0.09999999999999998,0.35,0.2666666666666666
240.0,600.0,0.4,114.98756651269008,13.944731684048108,8.245950450536714,0.2666666666666666,0.09999999999999998,0.35,0.2666666666666666
180.0,480.0,0.375,39.132058328801165,17.840661429564747,2.193419704941727,0.29166666666666663,0.125,0.375,0.29166666666666663
60.0,180.0,0.3333333333333333,60.42672558549216,39.132058328801165,1.5441744739764465,0.3333333333333333,0.16666666666666669,0.4166666666666667,0.3333333333333333
120.0,360.0,0.3333333333333333,191.0041638896968,47.97062945631309,3.981689755887913,0.3333333333333333,0.16666666666666669,0.4166666666666667,0.3333333333333333
180.0,600.0,0.3,39.132058328801165,13.944731684048108,2.8062252623738733,0.36666666666666664,0.2,0.45,0.36666666666666664
60.0,240.0,0.25,60.42672558549216,114.98756651269008,0.5255066040450855,0.41666666666666663,0.25,0.5,0.41666666666666663
120.0,480.0,0.25,191.0041638896968,17.840661429564747,10.70611449265963,0.41666666666666663,0.25,0.5,0.41666666666666663
60.0,300.0,0.2,60.42672558549216,14.051172706745088,4.300475614856336,0.4666666666666666,0.3,0.55,0.4666666666666666
120.0,600.0,0.2,191.0041638896968,13.944731684048108,13.697227613794354,0.4666666666666666,0.3,0.55,0.4666666666666666
60.0,360.0,0.16666666666666666,60.42672558549216,47.97062945631309,1.2596608856367593,0.5,0.33333333333333337,0.5833333333333334,0.5
60.0,480.0,0.125,60.42672558549216,17.840661429564747,3.3870227190879643,0.5416666666666666,0.375,0.625,0.5416666666666666
60.0,600.0,0.1,60.42672558549216,13.944731684048108,4.333301418385591,0.5666666666666667,0.4,0.65,0.5666666666666667
