"harmonic","target_Hz","bin_frequency_Hz","amplitude","local_noise","std_local_power","detected"
1,60,60,60.4267255854921,2.10313081314004,45.7126806666813,TRUE
2,120,120,191.004163889697,1.79930943006149,146.918267693926,TRUE
3,180,180,39.1320583288012,2.35473084929137,39.6035148685466,TRUE
4,240,240,114.98756651269,1.83673066307896,92.0912857114656,TRUE
5,300,300,14.0511727067451,2.62939535978621,6.74438816025394,TRUE
6,360,360,47.9706294563131,2.60502115540039,32.5192026178531,TRUE
7,420,420,2.63065070053844,2.51123153818857,0.1009813204276,FALSE
8,480,480,17.8406614295647,2.16730853629725,11.9326227787084,TRUE
9,540,540,5.95421825983542,1.89966530407282,3.44486485533234,TRUE
10,600,600,13.9447316840481,1.77641678475778,9.61960528626335,TRUE
11,660,660,5.34993747931685,2.31638162006865,2.90652107947475,FALSE
12,720,720,7.71307582890324,1.85056651887719,5.72171305004455,TRUE
13,780,780,5.19145241693859,2.21508583663342,2.50573494961229,FALSE
14,840,840,3.07742635226815,2.22313502757275,0.821495378664874,FALSE
15,900,900,3.48799894386947,2.13281053828406,1.29015106795492,FALSE
16,960,960,4.55739995566182,1.66143645865035,3.13547625460828,TRUE
